tour,start,end,startPos,endPos
1,200,221,0,4
1,253,286,4,7
1,300,352,7,6
1,379,405,6,4
1,437,457,4,0
2,205,259,0,3
2,274,307,3,3
2,322,355,3,3
2,370,403,3,3
2,423,476,3,0
3,208,234,0,4
3,246,295,4,4
3,324,375,4,4
3,387,436,4,4
3,465,516,4,4
3,528,577,4,4
3,606,657,4,4
3,669,718,4,4
3,726,777,4,4
3,789,816,4,4
3,821,872,4,4
3,884,906,4,1
3,930,981,1,4
3,993,1015,4,1
3,1039,1090,1,4
3,1102,1129,4,5
3,1150,1201,5,4
3,1213,1241,4,0
4,219,266,0,3
4,294,348,3,3
4,383,418,3,3
4,446,483,3,0
5,223,249,0,6
5,259,308,6,6
5,329,376,6,6
5,386,440,6,0
6,230,285,0,7
6,320,370,7,7
6,405,461,7,5
6,482,538,5,5
6,559,615,5,5
6,636,692,5,5
6,713,769,5,5
6,790,846,5,5
6,867,923,5,5
6,944,1000,5,5
6,1021,1077,5,5
6,1098,1154,5,5
6,1175,1214,5,0
7,235,291,0,5
7,315,365,5,4
7,378,437,4,4
7,442,466,4,5
7,490,540,5,4
7,553,612,4,4
7,617,641,4,5
7,665,715,5,4
7,728,787,4,4
7,792,816,4,5
7,840,890,5,4
7,903,954,4,3
7,974,998,3,5
7,1022,1072,5,4
7,1085,1136,4,3
7,1156,1180,3,5
7,1186,1240,5,0
8,238,295,0,3
8,321,376,3,1
8,381,439,1,3
8,465,520,3,1
8,525,545,1,0
9,239,284,0,3
9,317,369,3,4
9,392,432,4,0
10,256,307,0,4
10,336,386,4,8
10,399,451,8,9
10,454,507,9,4
10,536,586,4,8
10,599,651,8,9
10,654,707,9,4
10,736,786,4,8
10,799,851,8,9
10,854,897,9,6
10,926,976,6,8
10,989,1041,8,9
10,1044,1087,9,6
10,1116,1166,6,8
10,1179,1231,8,9
10,1234,1254,9,0
11,260,289,0,6
11,317,373,6,4
11,399,448,4,0
12,260,300,0,8
12,323,368,8,5
12,384,428,5,8
12,450,470,8,0
13,268,322,0,4
13,335,379,4,3
13,414,439,3,5
13,473,498,5,5
13,532,557,5,5
13,581,606,5,5
13,630,655,5,5
13,679,704,5,5
13,728,769,5,1
13,804,845,1,1
13,880,904,1,5
13,920,944,5,5
13,960,1002,5,6
13,1007,1049,6,6
13,1054,1096,6,6
13,1101,1143,6,6
13,1148,1190,6,6
13,1195,1237,6,6
13,1242,1284,6,6
13,1289,1331,6,6
13,1336,1384,6,0
14,268,302,0,7
14,314,334,7,4
14,362,395,4,7
14,407,427,7,4
14,455,475,4,0
15,270,303,0,4
15,322,354,4,2
15,379,426,2,7
15,440,480,7,6
15,503,535,6,2
15,560,607,2,7
15,621,661,7,6
15,695,727,6,2
15,752,799,2,7
15,813,853,7,6
15,887,919,6,2
15,944,991,2,7
15,1005,1045,7,6
15,1079,1111,6,2
15,1136,1183,2,7
15,1197,1237,7,0
16,270,328,0,5
16,355,383,5,3
16,407,428,3,5
16,455,483,5,3
16,507,531,3,5
16,543,571,5,3
16,595,619,3,5
16,630,658,5,3
16,682,706,3,5
16,733,761,5,3
16,785,809,3,5
16,836,864,5,3
16,888,912,3,5
16,939,967,5,3
16,991,1015,3,5
16,1033,1061,5,3
16,1085,1109,3,5
16,1127,1155,5,3
16,1179,1203,3,5
16,1221,1269,5,2
16,1294,1314,2,0
17,283,331,0,7
17,349,377,7,4
17,399,454,4,7
17,472,500,7,4
17,522,577,4,7
17,610,638,7,4
17,660,715,4,7
17,748,776,7,4
17,785,840,4,7
17,873,901,7,4
17,910,965,4,7
17,998,1026,7,4
17,1035,1090,4,7
17,1123,1165,7,4
17,1200,1234,4,0
18,285,323,0,3
18,335,378,3,6
18,381,405,6,4
18,437,457,4,0
19,288,343,0,9
19,367,425,9,5
19,431,482,5,3
19,513,571,3,9
19,595,626,9,2
19,654,705,2,3
19,736,794,3,9
19,818,849,9,2
19,877,928,2,3
19,959,1017,3,9
19,1025,1056,9,2
19,1084,1127,2,3
19,1142,1200,3,9
19,1208,1263,9,7
19,1286,1329,7,3
19,1344,1402,3,9
19,1410,1451,9,0
20,288,313,0,7
20,319,343,7,9
20,356,386,9,8
20,397,453,8,7
20,459,494,7,0
21,293,347,0,9
21,373,422,9,9
21,448,497,9,9
21,523,572,9,9
21,598,619,9,1
21,652,673,1,1
21,706,727,1,1
21,760,820,1,4
21,843,903,4,4
21,926,986,4,4
21,1009,1069,4,4
21,1092,1152,4,4
21,1175,1235,4,0
22,294,350,0,2
22,366,423,2,3
22,451,488,3,7
22,501,550,7,2
22,566,623,2,3
22,651,706,3,7
22,712,761,7,2
22,777,834,2,3
22,862,917,3,7
22,923,972,7,2
22,977,1034,2,3
22,1062,1117,3,7
22,1123,1151,7,4
22,1158,1215,4,3
22,1220,1255,3,0
23,294,350,0,8
23,363,411,8,6
23,420,451,6,8
23,464,484,8,0
24,296,356,0,9
24,373,421,9,9
24,438,486,9,9
24,503,551,9,9
24,568,616,9,9
24,633,681,9,9
24,698,746,9,9
24,757,805,9,9
24,816,864,9,9
24,888,936,9,9
24,960,1008,9,9
24,1032,1080,9,9
24,1104,1152,9,9
24,1176,1224,9,9
24,1232,1280,9,9
24,1288,1336,9,9
24,1344,1392,9,9
24,1400,1431,9,0
25,300,341,0,7
25,360,420,7,0
26,302,329,0,5
26,337,380,5,3
26,389,436,3,1
26,441,497,1,5
26,505,548,5,3
26,557,604,3,1
26,609,665,1,5
26,673,712,5,1
26,747,794,1,1
26,799,855,1,5
26,863,918,5,7
26,944,991,7,1
26,996,1052,1,5
26,1060,1115,5,7
26,1141,1195,7,0
27,302,354,0,4
27,366,409,4,8
27,429,449,8,0
28,302,331,0,1
28,361,400,1,2
28,429,481,2,0
29,303,348,0,9
29,381,433,9,9
29,466,511,9,0
30,303,356,0,4
30,391,439,4,4
30,461,481,4,0
31,303,360,0,5
31,376,421,5,5
31,454,498,5,3
31,525,556,3,8
31,586,631,8,5
31,664,708,5,3
31,735,766,3,8
31,796,816,8,0
32,304,364,0,6
32,369,391,6,6
32,396,452,6,7
32,465,496,7,0
33,304,346,0,9
33,354,388,9,2
33,410,465,2,8
33,478,520,8,9
33,528,562,9,2
33,584,639,2,8
33,652,694,8,9
33,702,736,9,2
33,753,808,2,8
33,821,863,8,9
33,871,905,9,2
33,922,977,2,8
33,990,1032,8,9
33,1040,1074,9,2
33,1091,1146,2,8
33,1159,1214,8,0
34,306,347,0,4
34,363,399,4,3
34,411,466,3,4
34,482,510,4,2
34,513,568,2,4
34,584,612,4,2
34,615,670,2,4
34,686,714,4,2
34,717,772,2,4
34,788,816,4,2
34,819,874,2,4
34,890,918,4,2
34,921,976,2,4
34,992,1020,4,2
34,1023,1078,2,4
34,1094,1122,4,2
34,1125,1180,2,4
34,1196,1216,4,0
35,307,350,0,9
35,366,408,9,3
35,439,487,3,4
35,506,536,4,9
35,552,594,9,3
35,625,673,3,4
35,692,718,4,7
35,734,776,7,3
35,807,830,3,4
35,839,865,4,7
35,881,923,7,3
35,954,977,3,4
35,986,1012,4,7
35,1028,1070,7,3
35,1101,1124,3,4
35,1133,1178,4,0
36,310,341,0,7
36,359,399,7,7
36,417,457,7,7
36,475,515,7,7
36,533,573,7,7
36,591,651,7,3
36,666,726,3,3
36,741,801,3,3
36,816,876,3,3
36,891,951,3,3
36,966,1026,3,3
36,1041,1101,3,3
36,1116,1176,3,3
36,1191,1251,3,8
36,1286,1346,8,8
36,1381,1426,8,6
36,1430,1458,6,0
37,314,368,0,5
37,376,399,5,5
37,407,430,5,5
37,438,461,5,5
37,481,504,5,5
37,524,547,5,5
37,567,590,5,5
37,610,633,5,5
37,653,676,5,5
37,707,730,5,5
37,761,784,5,5
37,787,810,5,5
37,813,836,5,5
37,839,862,5,5
37,865,888,5,5
37,891,921,5,7
37,929,959,7,7
37,967,997,7,7
37,1005,1035,7,7
37,1065,1095,7,7
37,1125,1154,7,1
37,1180,1209,1,1
37,1235,1264,1,1
37,1290,1319,1,1
37,1345,1374,1,1
37,1400,1442,1,0
38,318,346,0,3
38,368,416,3,3
38,438,458,3,0
39,318,358,0,3
39,378,415,3,5
39,437,457,5,3
39,477,498,3,0
40,318,344,0,5
40,362,414,5,8
40,417,447,8,9
40,460,500,9,5
40,518,570,5,8
40,596,626,8,9
40,629,669,9,5
40,687,739,5,8
40,768,798,8,9
40,801,841,9,5
40,859,911,5,8
40,940,970,8,9
40,973,1013,9,5
40,1031,1083,5,8
40,1112,1142,8,9
40,1145,1185,9,5
40,1203,1234,5,0
41,319,344,0,7
41,370,398,7,7
41,424,444,7,0
42,319,364,0,5
42,381,421,5,5
42,438,466,5,0
43,320,341,0,3
43,344,386,3,2
43,391,433,2,2
43,438,480,2,2
43,485,519,2,6
43,552,586,6,6
43,619,653,6,6
43,686,720,6,6
43,753,787,6,6
43,820,848,6,9
43,871,899,9,9
43,922,953,9,7
43,967,998,7,7
43,1012,1043,7,7
43,1057,1088,7,7
43,1102,1133,7,7
43,1147,1195,7,1
43,1203,1251,1,1
43,1259,1307,1,1
43,1315,1368,1,0
44,321,371,0,2
44,374,425,2,2
44,428,479,2,2
44,482,533,2,2
44,536,587,2,2
44,590,641,2,2
44,644,695,2,2
44,698,749,2,2
44,752,803,2,2
44,806,857,2,2
44,860,911,2,2
44,914,970,2,7
44,998,1054,7,7
44,1082,1138,7,7
44,1166,1222,7,7
44,1250,1295,7,0
45,321,362,0,9
45,393,451,9,0
46,322,382,0,3
