tour,start,end,startPos,endPos
1,215,248,0,2
1,272,300,2,2
1,319,352,2,9
1,380,434,9,2
1,458,493,2,0
2,218,253,0,8
2,277,337,8,3
2,367,402,3,8
2,426,485,8,0
3,248,285,0,2
3,312,344,2,5
3,372,409,5,2
3,436,468,2,5
3,496,533,5,2
3,560,592,2,5
3,620,657,5,2
3,684,716,2,5
3,744,781,5,2
3,808,840,2,5
3,868,899,5,9
3,915,947,9,5
3,975,1006,5,9
3,1022,1054,9,5
3,1082,1113,5,9
3,1129,1161,9,5
3,1189,1242,5,0
4,249,306,0,7
4,332,381,7,7
4,407,436,7,0
5,251,302,0,8
5,327,360,8,5
5,373,406,5,5
5,419,452,5,5
5,465,502,5,3
5,519,556,3,3
5,573,610,3,3
5,627,664,3,3
5,681,718,3,3
5,735,772,3,3
5,789,826,3,3
5,837,874,3,3
5,885,922,3,3
5,933,970,3,3
5,981,1018,3,3
5,1029,1066,3,3
5,1082,1119,3,3
5,1135,1172,3,3
5,1188,1244,3,0
6,287,308,0,3
6,341,375,3,4
6,405,431,4,3
6,464,491,3,0
7,289,334,0,1
7,345,381,1,4
7,406,438,4,4
7,461,495,4,1
7,506,542,1,4
7,567,599,4,4
7,622,656,4,1
7,667,703,1,4
7,728,760,4,4
7,783,817,4,1
7,828,864,1,4
7,889,921,4,4
7,944,978,4,1
7,989,1038,1,1
7,1048,1080,1,4
7,1103,1137,4,1
7,1148,1197,1,1
7,1207,1239,1,4
7,1262,1303,4,0
8,299,322,0,4
8,355,396,4,5
8,426,483,5,4
8,516,557,4,5
8,587,644,5,4
8,677,733,4,9
8,736,793,9,4
8,826,862,4,2
8,877,934,2,4
8,967,1013,4,5
8,1032,1089,5,4
8,1122,1168,4,5
8,1187,1244,5,4
8,1277,1323,4,5
8,1342,1374,5,0
9,299,335,0,6
9,367,404,6,4
9,418,451,4,3
9,462,482,3,0
10,301,338,0,6
10,353,383,6,6
10,387,420,6,6
10,437,457,6,0
11,306,336,0,9
11,344,377,9,6
11,412,436,6,9
11,470,503,9,6
11,538,562,6,9
11,596,629,9,6
11,648,672,6,9
11,706,759,9,7
11,785,809,7,9
11,843,896,9,7
11,922,946,7,9
11,955,1008,9,7
11,1034,1058,7,9
11,1067,1120,9,7
11,1146,1170,7,9
11,1199,1252,9,0
12,307,342,0,9
12,356,391,9,9
12,405,440,9,9
12,454,489,9,9
12,503,538,9,9
12,552,587,9,9
12,601,636,9,9
12,650,685,9,9
12,714,749,9,9
12,778,801,9,5
12,818,841,5,5
12,858,881,5,5
12,898,921,5,5
12,938,961,5,5
12,978,1001,5,5
12,1018,1041,5,5
12,1058,1081,5,5
12,1098,1121,5,5
12,1138,1161,5,5
12,1178,1201,5,5
12,1217,1240,5,5
12,1256,1279,5,7
12,1285,1308,7,7
12,1314,1337,7,7
12,1343,1366,7,7
12,1372,1409,7,0
13,310,354,0,7
13,361,421,7,7
13,439,499,7,0
14,310,340,0,6
14,357,413,6,6
14,430,486,6,6
14,503,523,6,0
15,310,353,0,7
15,367,393,7,6
15,421,459,6,9
15,471,521,9,7
15,535,561,7,6
15,589,627,6,9
15,639,689,9,7
15,703,729,7,6
15,757,795,6,9
15,807,857,9,7
15,871,897,7,6
15,925,963,6,9
15,975,1025,9,7
15,1039,1089,7,4
15,1096,1134,4,9
15,1146,1196,9,7
15,1210,1262,7,9
15,1271,1291,9,0
16,312,348,0,8
16,358,380,8,8
16,390,412,8,8
16,422,444,8,8
16,454,476,8,8
16,486,529,8,1
