tour,start,end,startPos,endPos
1,204,243,0,9
1,263,323,9,6
1,343,373,6,8
1,381,421,8,9
1,441,501,9,6
1,518,548,6,8
1,556,596,8,9
1,616,676,9,6
1,693,743,6,4
1,771,811,4,9
1,831,891,9,6
1,908,958,6,4
1,986,1026,4,9
1,1054,1114,9,6
1,1131,1181,6,4
1,1209,1249,4,9
1,1277,1337,9,6
1,1354,1404,6,0
2,205,258,0,9
2,290,345,9,9
2,376,414,9,6
2,429,477,6,4
2,499,554,4,9
2,585,623,9,6
2,638,686,6,4
2,708,763,4,9
2,794,832,9,6
2,847,895,6,4
2,917,972,4,9
2,1003,1041,9,6
2,1056,1076,6,6
2,1090,1145,6,9
2,1176,1196,9,0
3,207,236,0,1
3,264,292,1,1
3,320,348,1,1
3,376,404,1,1
3,417,458,1,0
4,208,231,0,9
4,249,298,9,8
4,327,365,8,9
4,383,442,9,0
5,212,254,0,4
5,262,311,4,8
5,345,396,8,4
5,404,453,4,8
5,487,507,8,0
6,217,275,0,6
6,299,358,6,4
6,368,405,4,6
6,429,456,6,6
6,480,539,6,4
6,549,586,4,6
6,610,637,6,6
6,661,720,6,4
6,730,767,4,6
6,791,818,6,6
6,837,896,6,4
6,906,943,4,6
6,967,1021,6,6
6,1033,1092,6,4
6,1102,1139,4,6
6,1163,1217,6,6
6,1229,1288,6,4
6,1298,1335,4,6
6,1359,1413,6,6
6,1425,1445,6,0
7,218,276,0,8
7,297,340,8,7
7,355,404,7,3
7,424,452,3,0
8,229,285,0,5
8,297,323,5,6
8,350,407,6,7
8,418,472,7,0
9,230,290,0,6
9,321,372,6,6
9,387,407,6,3
9,415,455,3,6
9,486,537,6,6
9,552,572,6,3
9,580,620,3,6
9,651,702,6,6
9,717,737,6,3
9,744,784,3,6
9,815,866,6,6
9,881,901,6,3
9,908,948,3,6
9,979,1030,6,6
9,1045,1065,6,3
9,1072,1112,3,6
9,1143,1194,6,6
9,1209,1229,6,0
10,231,291,0,6
10,295,320,6,1
10,332,374,1,7
10,382,424,7,6
10,431,456,6,1
10,475,517,1,7
10,525,567,7,6
10,574,599,6,1
10,618,660,1,7
10,668,710,7,6
10,717,742,6,1
10,762,804,1,7
10,812,854,7,6
10,861,886,6,1
10,906,948,1,7
10,956,998,7,6
10,1005,1047,6,4
10,1061,1103,4,7
10,1111,1147,7,4
10,1167,1209,4,0
11,233,292,0,4
11,323,362,4,7
11,369,426,7,0
12,236,287,0,2
12,320,356,2,3
12,359,386,3,7
12,419,474,7,2
12,492,528,2,3
12,531,558,3,7
12,591,646,7,2
12,664,700,2,3
12,703,730,3,7
12,763,818,7,2
12,836,872,2,3
12,875,902,3,7
12,935,990,7,2
12,1024,1060,2,3
12,1063,1090,3,7
12,1123,1178,7,2
12,1204,1240,2,3
12,1243,1270,3,7
12,1303,1358,7,2
12,1384,1422,2,0
13,244,288,0,7
13,292,340,7,7
13,344,392,7,7
13,396,444,7,7
13,448,496,7,7
13,500,548,7,7
13,552,600,7,7
13,604,652,7,7
13,656,704,7,7
13,708,756,7,7
13,760,808,7,7
13,812,860,7,7
13,884,932,7,7
13,956,1004,7,7
13,1028,1076,7,7
13,1100,1137,7,6
13,1161,1198,6,6
13,1222,1270,6,0
14,252,276,0,3
14,299,333,3,4
14,343,401,4,8
14,429,455,8,3
14,478,512,3,4
14,522,580,4,8
14,608,634,8,3
14,657,691,3,4
14,701,759,4,8
14,787,813,8,3
14,836,870,3,4
14,894,952,4,8
14,960,986,8,3
14,1019,1053,3,4
14,1077,1135,4,8
14,1143,1169,8,3
14,1173,1207,3,4
14,1231,1278,4,4
14,1304,1330,4,3
14,1334,1368,3,4
14,1392,1439,4,4
14,1465,1491,4,0
15,256,276,0,3
15,306,350,3,6
15,366,421,6,0
16,261,315,0,3
16,333,379,3,3
16,397,443,3,3
16,461,481,3,0
17,271,313,0,5
17,341,375,5,5
17,403,437,5,5
17,465,499,5,5
17,527,561,5,5
17,589,623,5,5
17,651,685,5,5
17,713,747,5,5
17,775,809,5,5
17,837,871,5,5
17,874,908,5,5
17,911,945,5,5
17,948,982,5,5
17,985,1019,5,5
17,1022,1056,5,5
17,1059,1108,5,4
17,1137,1186,4,4
17,1215,1264,4,4
17,1293,1342,4,4
